County,Year,Indicator,Value,Geolocation
Nairobi,2009,% Employed (age 5 and over) female urban,86.6,"(-1.296975, 36.844534)"
Nairobi,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,36.7,"(-1.296975, 36.844534)"
Nairobi,2009, % Economically Inactive (aged 5 and over)female urban,8.6,"(-1.296975, 36.844534)"
Nairobi,2009,% Employment status unclassified (aged 5 and over) female urban,36.1,"(-1.296975, 36.844534)"
Nairobi,2009,% Employed (age 5 and over) male urban,86.3,"(-1.296975, 36.844534)"
Nairobi,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,52.9,"(-1.296975, 36.844534)"
Nairobi,2009, % Economically Inactive (aged 5 and over)male urban,6.9,"(-1.296975, 36.844534)"
Nairobi,2009,% Employment status unclassified (aged 5 and over)male urban,22.3,"(-1.296975, 36.844534)"
Nairobi,2005,Morbidity rates male,22.8,"(-1.296975, 36.844534)"
Nairobi,2005,Morbidity rates female,27.9,"(-1.296975, 36.844534)"
Nakuru,2009,Urban households access to electricty,56,"(-0.385212, 36.036261)"
Nakuru,2009,Rural households access to electricty,10.1,"(-0.385212, 36.036261)"
Nakuru,2009,Rural households access to piped water,18.3,"(-0.385212, 36.036261)"
Nakuru,2009,Urban households access to piped water,53.7,"(-0.385212, 36.036261)"
Nakuru,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.3,"(-0.385212, 36.036261)"
Nakuru,2009,"Urban Access to main sewer, sceptic tank or cess pit",22.5,"(-0.385212, 36.036261)"
Nakuru,2009,%  with Pre-Primary education,18.2,"(-0.385212, 36.036261)"
Nakuru,2009,%  with Primary education,63.4,"(-0.385212, 36.036261)"
Nakuru,2009,%  with Secondary education,13.4,"(-0.385212, 36.036261)"
Nakuru,2009,"%  with Tertiary education, university or youth polytechnic",4.8,"(-0.385212, 36.036261)"
Nakuru,2005,Incidence of Flu,0,"(-0.385212, 36.036261)"
Nakuru,2005,Incidence of Fever/Malaria,0,"(-0.385212, 36.036261)"
Nakuru,2005,Kenya average flu incidence,15,"(-0.385212, 36.036261)"
Nakuru,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.385212, 36.036261)"
Nakuru,2009,% Employed (age 5 and over) female rural,84.3,"(-0.385212, 36.036261)"
Nakuru,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,42.2,"(-0.385212, 36.036261)"
Nakuru,2009,% Economically Inactive (aged 5 and over)female rural,4.4,"(-0.385212, 36.036261)"
Nakuru,2009,% Employment status unclassified (aged 5 and over)female rural,34.5,"(-0.385212, 36.036261)"
Nakuru,2009,% Employed (age 5 and over) male rural,83.5,"(-0.385212, 36.036261)"
Nakuru,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,45.2,"(-0.385212, 36.036261)"
Nakuru,2009,% Economically Inactive (aged 5 and over) male rural,5.3,"(-0.385212, 36.036261)"
Nakuru,2009,% Employment status unclassified (aged 5 and over)male rural,29.7,"(-0.385212, 36.036261)"
Nakuru,2009,% Employed (age 5 and over) female urban,85.2,"(-0.385212, 36.036261)"
Nakuru,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,34.9,"(-0.385212, 36.036261)"
Nakuru,2009, % Economically Inactive (aged 5 and over)female urban,6,"(-0.385212, 36.036261)"
Nakuru,2009,% Employment status unclassified (aged 5 and over) female urban,40.8,"(-0.385212, 36.036261)"
Nakuru,2009,% Employed (age 5 and over) male urban,84.1,"(-0.385212, 36.036261)"
Nakuru,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,45.7,"(-0.385212, 36.036261)"
Nakuru,2009, % Economically Inactive (aged 5 and over)male urban,5.2,"(-0.385212, 36.036261)"
Nakuru,2009,% Employment status unclassified (aged 5 and over)male urban,30.1,"(-0.385212, 36.036261)"
Nakuru,2005,Morbidity rates male,16.4,"(-0.385212, 36.036261)"
Nakuru,2005,Morbidity rates female,22.2,"(-0.385212, 36.036261)"
Nandi,2009,Urban households access to electricty,21.4,"(0.143371, 35.156125)"
Nandi,2009,Rural households access to electricty,3.6,"(0.143371, 35.156125)"
Nandi,2009,Rural households access to piped water,13.4,"(0.143371, 35.156125)"
Nandi,2009,Urban households access to piped water,14.6,"(0.143371, 35.156125)"
Nandi,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(0.143371, 35.156125)"
Nandi,2009,"Urban Access to main sewer, sceptic tank or cess pit",4,"(0.143371, 35.156125)"
Nandi,2009,%  with Pre-Primary education,19.2,"(0.143371, 35.156125)"
Nandi,2009,%  with Primary education,67.3,"(0.143371, 35.156125)"
Nandi,2009,%  with Secondary education,10.7,"(0.143371, 35.156125)"
Nandi,2009,"%  with Tertiary education, university or youth polytechnic",2.8,"(0.143371, 35.156125)"
Nandi,2005,Incidence of Flu,13.5,"(0.143371, 35.156125)"
Nandi,2005,Incidence of Fever/Malaria,50.9,"(0.143371, 35.156125)"
Nandi,2005,Kenya average flu incidence,15,"(0.143371, 35.156125)"
Nandi,2005,Kenya average Fever/Malaria incidence,41.4,"(0.143371, 35.156125)"
Nandi,2009,% Employed (age 5 and over) female rural,83.4,"(0.143371, 35.156125)"
Nandi,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,35.4,"(0.143371, 35.156125)"
Nandi,2009,% Economically Inactive (aged 5 and over)female rural,2.1,"(0.143371, 35.156125)"
Nandi,2009,% Employment status unclassified (aged 5 and over)female rural,42.2,"(0.143371, 35.156125)"
Nandi,2009,% Employed (age 5 and over) male rural,83.1,"(0.143371, 35.156125)"
Nandi,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,43.1,"(0.143371, 35.156125)"
Nandi,2009,% Economically Inactive (aged 5 and over) male rural,2.7,"(0.143371, 35.156125)"
Nandi,2009,% Employment status unclassified (aged 5 and over)male rural,33.4,"(0.143371, 35.156125)"
Nandi,2009,% Employed (age 5 and over) female urban,85,"(0.143371, 35.156125)"
Nandi,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,36,"(0.143371, 35.156125)"
Nandi,2009, % Economically Inactive (aged 5 and over)female urban,3.7,"(0.143371, 35.156125)"
Nandi,2009,% Employment status unclassified (aged 5 and over) female urban,39.6,"(0.143371, 35.156125)"
Nandi,2009,% Employed (age 5 and over) male urban,83.8,"(0.143371, 35.156125)"
Nandi,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,43.5,"(0.143371, 35.156125)"
Nandi,2009, % Economically Inactive (aged 5 and over)male urban,3.6,"(0.143371, 35.156125)"
Nandi,2009,% Employment status unclassified (aged 5 and over)male urban,30.9,"(0.143371, 35.156125)"
Nandi,2005,Morbidity rates male,19.2,"(0.143371, 35.156125)"
Nandi,2005,Morbidity rates female,29.1,"(0.143371, 35.156125)"
Narok,2009,Urban households access to electricty,43.6,"(-1.227452, 35.686784)"
Narok,2009,Rural households access to electricty,1.8,"(-1.227452, 35.686784)"
Narok,2009,Rural households access to piped water,4,"(-1.227452, 35.686784)"
Narok,2009,Urban households access to piped water,33.6,"(-1.227452, 35.686784)"
Narok,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.8,"(-1.227452, 35.686784)"
Narok,2009,"Urban Access to main sewer, sceptic tank or cess pit",6.9,"(-1.227452, 35.686784)"
Narok,2009,%  with Pre-Primary education,18,"(-1.227452, 35.686784)"
Narok,2009,%  with Primary education,73.5,"(-1.227452, 35.686784)"
Narok,2009,%  with Secondary education,7.2,"(-1.227452, 35.686784)"
Narok,2009,"%  with Tertiary education, university or youth polytechnic",1.2,"(-1.227452, 35.686784)"
Narok,2005,Incidence of Flu,2.6,"(-1.227452, 35.686784)"
Narok,2005,Incidence of Fever/Malaria,55.8,"(-1.227452, 35.686784)"
Narok,2005,Kenya average flu incidence,15,"(-1.227452, 35.686784)"
Narok,2005,Kenya average Fever/Malaria incidence,41.4,"(-1.227452, 35.686784)"
Narok,2009,% Employed (age 5 and over) female rural,79.9,"(-1.227452, 35.686784)"
Narok,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,38.8,"(-1.227452, 35.686784)"
Narok,2009,% Economically Inactive (aged 5 and over)female rural,3.1,"(-1.227452, 35.686784)"
Narok,2009,% Employment status unclassified (aged 5 and over)female rural,31.9,"(-1.227452, 35.686784)"
Narok,2009,% Employed (age 5 and over) male rural,79.2,"(-1.227452, 35.686784)"
Narok,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,45.2,"(-1.227452, 35.686784)"
Narok,2009,% Economically Inactive (aged 5 and over) male rural,3.3,"(-1.227452, 35.686784)"
Narok,2009,% Employment status unclassified (aged 5 and over)male rural,24.1,"(-1.227452, 35.686784)"
Narok,2009,% Employed (age 5 and over) female urban,83.3,"(-1.227452, 35.686784)"
Narok,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,34.8,"(-1.227452, 35.686784)"
Narok,2009, % Economically Inactive (aged 5 and over)female urban,4,"(-1.227452, 35.686784)"
Narok,2009,% Employment status unclassified (aged 5 and over) female urban,41.2,"(-1.227452, 35.686784)"
Narok,2009,% Employed (age 5 and over) male urban,79.4,"(-1.227452, 35.686784)"
Narok,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,46,"(-1.227452, 35.686784)"
Narok,2009, % Economically Inactive (aged 5 and over)male urban,3.4,"(-1.227452, 35.686784)"
Narok,2009,% Employment status unclassified (aged 5 and over)male urban,27,"(-1.227452, 35.686784)"
Narok,2005,Morbidity rates male,10.9,"(-1.227452, 35.686784)"
Narok,2005,Morbidity rates female,11.9,"(-1.227452, 35.686784)"
Nyamira,2009,Urban households access to electricty,16.1,"(-0.644917, 34.955612)"
Nyamira,2009,Rural households access to electricty,4.4,"(-0.644917, 34.955612)"
Nyamira,2009,Rural households access to piped water,3.3,"(-0.644917, 34.955612)"
Nyamira,2009,Urban households access to piped water,9.1,"(-0.644917, 34.955612)"
Nyamira,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(-0.644917, 34.955612)"
Nyamira,2009,"Urban Access to main sewer, sceptic tank or cess pit",1,"(-0.644917, 34.955612)"
Nyamira,2009,%  with Pre-Primary education,16,"(-0.644917, 34.955612)"
Nyamira,2009,%  with Primary education,64,"(-0.644917, 34.955612)"
Nyamira,2009,%  with Secondary education,17.7,"(-0.644917, 34.955612)"
Nyamira,2009,"%  with Tertiary education, university or youth polytechnic",2.3,"(-0.644917, 34.955612)"
Nyamira,2005,Incidence of Flu,28.1,"(-0.644917, 34.955612)"
Nyamira,2005,Incidence of Fever/Malaria,38.9,"(-0.644917, 34.955612)"
Nyamira,2005,Kenya average flu incidence,15,"(-0.644917, 34.955612)"
Nyamira,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.644917, 34.955612)"
Nyamira,2009,% Employed (age 5 and over) female rural,84.5,"(-0.644917, 34.955612)"
Nyamira,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,46.6,"(-0.644917, 34.955612)"
Nyamira,2009,% Economically Inactive (aged 5 and over)female rural,1.2,"(-0.644917, 34.955612)"
Nyamira,2009,% Employment status unclassified (aged 5 and over)female rural,34.4,"(-0.644917, 34.955612)"
Nyamira,2009,% Employed (age 5 and over) male rural,82.9,"(-0.644917, 34.955612)"
Nyamira,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,42.2,"(-0.644917, 34.955612)"
Nyamira,2009,% Economically Inactive (aged 5 and over) male rural,1.5,"(-0.644917, 34.955612)"
Nyamira,2009,% Employment status unclassified (aged 5 and over)male rural,36.9,"(-0.644917, 34.955612)"
Nyamira,2009,% Employed (age 5 and over) female urban,84.7,"(-0.644917, 34.955612)"
Nyamira,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,44.4,"(-0.644917, 34.955612)"
Nyamira,2009, % Economically Inactive (aged 5 and over)female urban,2.9,"(-0.644917, 34.955612)"
Nyamira,2009,% Employment status unclassified (aged 5 and over) female urban,33.9,"(-0.644917, 34.955612)"
Nyamira,2009,% Employed (age 5 and over) male urban,82.9,"(-0.644917, 34.955612)"
Nyamira,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,41.7,"(-0.644917, 34.955612)"
Nyamira,2009, % Economically Inactive (aged 5 and over)male urban,2.8,"(-0.644917, 34.955612)"
Nyamira,2009,% Employment status unclassified (aged 5 and over)male urban,34.8,"(-0.644917, 34.955612)"
Nyamira,2005,Morbidity rates male,22.9,"(-0.644917, 34.955612)"
Nyamira,2005,Morbidity rates female,31.6,"(-0.644917, 34.955612)"
Nyandarua,2009,Urban households access to electricty,27.2,"(-0.374727, 36.494076)"
Nyandarua,2009,Rural households access to electricty,6.2,"(-0.374727, 36.494076)"
Nyandarua,2009,Rural households access to piped water,23.5,"(-0.374727, 36.494076)"
Nyandarua,2009,Urban households access to piped water,28.4,"(-0.374727, 36.494076)"
Nyandarua,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.4,"(-0.374727, 36.494076)"
Nyandarua,2009,"Urban Access to main sewer, sceptic tank or cess pit",3.7,"(-0.374727, 36.494076)"
Nyandarua,2009,%  with Pre-Primary education,16.1,"(-0.374727, 36.494076)"
Nyandarua,2009,%  with Primary education,67.9,"(-0.374727, 36.494076)"
Nyandarua,2009,%  with Secondary education,14.2,"(-0.374727, 36.494076)"
Nyandarua,2009,"%  with Tertiary education, university or youth polytechnic",1.7,"(-0.374727, 36.494076)"
Nyandarua,2005,Incidence of Flu,23.1,"(-0.374727, 36.494076)"
Nyandarua,2005,Incidence of Fever/Malaria,14.4,"(-0.374727, 36.494076)"
Nyandarua,2005,Kenya average flu incidence,15,"(-0.374727, 36.494076)"
Nyandarua,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employed (age 5 and over) female rural,86.5,"(-0.374727, 36.494076)"
Nyandarua,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,47.5,"(-0.374727, 36.494076)"
Nyandarua,2009,% Economically Inactive (aged 5 and over)female rural,1.6,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employment status unclassified (aged 5 and over)female rural,35.1,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employed (age 5 and over) male rural,85.3,"(-0.374727, 36.494076)"
Nyandarua,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,46.5,"(-0.374727, 36.494076)"
Nyandarua,2009,% Economically Inactive (aged 5 and over) male rural,2.2,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employment status unclassified (aged 5 and over)male rural,34.1,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employed (age 5 and over) female urban,86.2,"(-0.374727, 36.494076)"
Nyandarua,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,42.1,"(-0.374727, 36.494076)"
Nyandarua,2009, % Economically Inactive (aged 5 and over)female urban,2.4,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employment status unclassified (aged 5 and over) female urban,39.6,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employed (age 5 and over) male urban,85,"(-0.374727, 36.494076)"
Nyandarua,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,44,"(-0.374727, 36.494076)"
Nyandarua,2009, % Economically Inactive (aged 5 and over)male urban,3,"(-0.374727, 36.494076)"
Nyandarua,2009,% Employment status unclassified (aged 5 and over)male urban,36,"(-0.374727, 36.494076)"
Nyandarua,2005,Morbidity rates male,9.4,"(-0.374727, 36.494076)"
Nyandarua,2005,Morbidity rates female,13.4,"(-0.374727, 36.494076)"
Nyeri,2009,Urban households access to electricty,55.3,"(-0.407168, 36.965186)"
Nyeri,2009,Rural households access to electricty,15.6,"(-0.407168, 36.965186)"
Nyeri,2009,Rural households access to piped water,47.1,"(-0.407168, 36.965186)"
Nyeri,2009,Urban households access to piped water,79.9,"(-0.407168, 36.965186)"
Nyeri,2009,"Rural Access to main sewer, sceptic tank or cess pit",1.6,"(-0.407168, 36.965186)"
Nyeri,2009,"Urban Access to main sewer, sceptic tank or cess pit",27.6,"(-0.407168, 36.965186)"
Nyeri,2009,%  with Pre-Primary education,14.3,"(-0.407168, 36.965186)"
Nyeri,2009,%  with Primary education,61.4,"(-0.407168, 36.965186)"
Nyeri,2009,%  with Secondary education,19.8,"(-0.407168, 36.965186)"
Nyeri,2009,"%  with Tertiary education, university or youth polytechnic",4.4,"(-0.407168, 36.965186)"
Nyeri,2005,Incidence of Flu,28.9,"(-0.407168, 36.965186)"
Nyeri,2005,Incidence of Fever/Malaria,13.4,"(-0.407168, 36.965186)"
Nyeri,2005,Kenya average flu incidence,15,"(-0.407168, 36.965186)"
Nyeri,2005,Kenya average Fever/Malaria incidence,41.4,"(-0.407168, 36.965186)"
Nyeri,2009,% Employed (age 5 and over) female rural,89.6,"(-0.407168, 36.965186)"
Nyeri,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,48.8,"(-0.407168, 36.965186)"
Nyeri,2009,% Economically Inactive (aged 5 and over)female rural,1.8,"(-0.407168, 36.965186)"
Nyeri,2009,% Employment status unclassified (aged 5 and over)female rural,37.6,"(-0.407168, 36.965186)"
Nyeri,2009,% Employed (age 5 and over) male rural,88.5,"(-0.407168, 36.965186)"
Nyeri,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,51.2,"(-0.407168, 36.965186)"
Nyeri,2009,% Economically Inactive (aged 5 and over) male rural,2.7,"(-0.407168, 36.965186)"
Nyeri,2009,% Employment status unclassified (aged 5 and over)male rural,33,"(-0.407168, 36.965186)"
Nyeri,2009,% Employed (age 5 and over) female urban,88.1,"(-0.407168, 36.965186)"
Nyeri,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,43.3,"(-0.407168, 36.965186)"
Nyeri,2009, % Economically Inactive (aged 5 and over)female urban,4.1,"(-0.407168, 36.965186)"
Nyeri,2009,% Employment status unclassified (aged 5 and over) female urban,38.5,"(-0.407168, 36.965186)"
Nyeri,2009,% Employed (age 5 and over) male urban,84.8,"(-0.407168, 36.965186)"
Nyeri,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,50,"(-0.407168, 36.965186)"
Nyeri,2009, % Economically Inactive (aged 5 and over)male urban,3.7,"(-0.407168, 36.965186)"
Nyeri,2009,% Employment status unclassified (aged 5 and over)male urban,29,"(-0.407168, 36.965186)"
Nyeri,2005,Morbidity rates male,12.4,"(-0.407168, 36.965186)"
Nyeri,2005,Morbidity rates female,17.4,"(-0.407168, 36.965186)"
Samburu,2009,Urban households access to electricty,26.6,"(1.183862, 37.184377)"
Samburu,2009,Rural households access to electricty,1.4,"(1.183862, 37.184377)"
Samburu,2009,Rural households access to piped water,8,"(1.183862, 37.184377)"
Samburu,2009,Urban households access to piped water,41.9,"(1.183862, 37.184377)"
Samburu,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.4,"(1.183862, 37.184377)"
Samburu,2009,"Urban Access to main sewer, sceptic tank or cess pit",3.1,"(1.183862, 37.184377)"
Samburu,2009,%  with Pre-Primary education,28.3,"(1.183862, 37.184377)"
Samburu,2009,%  with Primary education,63.6,"(1.183862, 37.184377)"
Samburu,2009,%  with Secondary education,6.5,"(1.183862, 37.184377)"
Samburu,2009,"%  with Tertiary education, university or youth polytechnic",1.3,"(1.183862, 37.184377)"
Samburu,2005,Incidence of Flu,22.1,"(1.183862, 37.184377)"
Samburu,2005,Incidence of Fever/Malaria,37.1,"(1.183862, 37.184377)"
Samburu,2005,Kenya average flu incidence,15,"(1.183862, 37.184377)"
Samburu,2005,Kenya average Fever/Malaria incidence,41.4,"(1.183862, 37.184377)"
Samburu,2009,% Employed (age 5 and over) female rural,80.6,"(1.183862, 37.184377)"
Samburu,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,36.1,"(1.183862, 37.184377)"
Samburu,2009,% Economically Inactive (aged 5 and over)female rural,6.6,"(1.183862, 37.184377)"
Samburu,2009,% Employment status unclassified (aged 5 and over)female rural,25.6,"(1.183862, 37.184377)"
Samburu,2009,% Employed (age 5 and over) male rural,80.3,"(1.183862, 37.184377)"
Samburu,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,43.9,"(1.183862, 37.184377)"
Samburu,2009,% Economically Inactive (aged 5 and over) male rural,7.1,"(1.183862, 37.184377)"
Samburu,2009,% Employment status unclassified (aged 5 and over)male rural,15.7,"(1.183862, 37.184377)"
Samburu,2009,% Employed (age 5 and over) female urban,81.6,"(1.183862, 37.184377)"
Samburu,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,24.7,"(1.183862, 37.184377)"
Samburu,2009, % Economically Inactive (aged 5 and over)female urban,13.3,"(1.183862, 37.184377)"
Samburu,2009,% Employment status unclassified (aged 5 and over) female urban,36.6,"(1.183862, 37.184377)"
Samburu,2009,% Employed (age 5 and over) male urban,78.7,"(1.183862, 37.184377)"
Samburu,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,29.8,"(1.183862, 37.184377)"
Samburu,2009, % Economically Inactive (aged 5 and over)male urban,14.8,"(1.183862, 37.184377)"
Samburu,2009,% Employment status unclassified (aged 5 and over)male urban,28.2,"(1.183862, 37.184377)"
Samburu,2005,Morbidity rates male,22.7,"(1.183862, 37.184377)"
Samburu,2005,Morbidity rates female,34.1,"(1.183862, 37.184377)"
Siaya,2009,Urban households access to electricty,19.7,"(0.06, 34.29)"
Siaya,2009,Rural households access to electricty,2.4,"(0.06, 34.29)"
Siaya,2009,Rural households access to piped water,4.3,"(0.06, 34.29)"
Siaya,2009,Urban households access to piped water,26.3,"(0.06, 34.29)"
Siaya,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.3,"(0.06, 34.29)"
Siaya,2009,"Urban Access to main sewer, sceptic tank or cess pit",2.4,"(0.06, 34.29)"
Siaya,2009,%  with Pre-Primary education,17.4,"(0.06, 34.29)"
Siaya,2009,%  with Primary education,70.3,"(0.06, 34.29)"
Siaya,2009,%  with Secondary education,10.8,"(0.06, 34.29)"
Siaya,2009,"%  with Tertiary education, university or youth polytechnic",1.5,"(0.06, 34.29)"
Siaya,2005,Incidence of Flu,2.4,"(0.06, 34.29)"
Siaya,2005,Incidence of Fever/Malaria,54.4,"(0.06, 34.29)"
Siaya,2005,Kenya average flu incidence,15,"(0.06, 34.29)"
Siaya,2005,Kenya average Fever/Malaria incidence,41.4,"(0.06, 34.29)"
Siaya,2009,% Employed (age 5 and over) female rural,84,"(0.06, 34.29)"
Siaya,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,45.8,"(0.06, 34.29)"
Siaya,2009,% Economically Inactive (aged 5 and over)female rural,3.1,"(0.06, 34.29)"
Siaya,2009,% Employment status unclassified (aged 5 and over)female rural,31.1,"(0.06, 34.29)"
Siaya,2009,% Employed (age 5 and over) male rural,81.9,"(0.06, 34.29)"
Siaya,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,43.7,"(0.06, 34.29)"
Siaya,2009,% Economically Inactive (aged 5 and over) male rural,3.3,"(0.06, 34.29)"
Siaya,2009,% Employment status unclassified (aged 5 and over)male rural,30.7,"(0.06, 34.29)"
Siaya,2009,% Employed (age 5 and over) female urban,82.6,"(0.06, 34.29)"
Siaya,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.6,"(0.06, 34.29)"
Siaya,2009, % Economically Inactive (aged 5 and over)female urban,5.3,"(0.06, 34.29)"
Siaya,2009,% Employment status unclassified (aged 5 and over) female urban,38.4,"(0.06, 34.29)"
Siaya,2009,% Employed (age 5 and over) male urban,79.1,"(0.06, 34.29)"
Siaya,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,39.6,"(0.06, 34.29)"
Siaya,2009, % Economically Inactive (aged 5 and over)male urban,4.1,"(0.06, 34.29)"
Siaya,2009,% Employment status unclassified (aged 5 and over)male urban,32.6,"(0.06, 34.29)"
Siaya,2005,Morbidity rates male,39.9,"(0.06, 34.29)"
Siaya,2005,Morbidity rates female,47.4,"(0.06, 34.29)"
Taita Taveta,2009,Urban households access to electricty,35.6,"(-3.551502, 38.376101)"
Taita Taveta,2009,Rural households access to electricty,7.8,"(-3.551502, 38.376101)"
Taita Taveta,2009,Rural households access to piped water,50,"(-3.551502, 38.376101)"
Taita Taveta,2009,Urban households access to piped water,85.7,"(-3.551502, 38.376101)"
Taita Taveta,2009,"Rural Access to main sewer, sceptic tank or cess pit",2.7,"(-3.551502, 38.376101)"
Taita Taveta,2009,"Urban Access to main sewer, sceptic tank or cess pit",16,"(-3.551502, 38.376101)"
Taita Taveta,2009,%  with Pre-Primary education,16,"(-3.551502, 38.376101)"
Taita Taveta,2009,%  with Primary education,68.7,"(-3.551502, 38.376101)"
Taita Taveta,2009,%  with Secondary education,12.1,"(-3.551502, 38.376101)"
Taita Taveta,2009,"%  with Tertiary education, university or youth polytechnic",3,"(-3.551502, 38.376101)"
Taita Taveta,2005,Incidence of Flu,8,"(-3.551502, 38.376101)"
Taita Taveta,2005,Incidence of Fever/Malaria,48.8,"(-3.551502, 38.376101)"
Taita Taveta,2005,Kenya average flu incidence,15,"(-3.551502, 38.376101)"
Taita Taveta,2005,Kenya average Fever/Malaria incidence,41.4,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employed (age 5 and over) female rural,85.7,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Seeking Work / No Work Available (aged 5 and over)female  rural,37.8,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Economically Inactive (aged 5 and over)female rural,3.2,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employment status unclassified (aged 5 and over)female rural,41.8,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employed (age 5 and over) male rural,83.7,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Seeking Work / No Work Available (aged 5 and over) male  rural,46.9,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Economically Inactive (aged 5 and over) male rural,4.8,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employment status unclassified (aged 5 and over)male rural,29,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employed (age 5 and over) female urban,84.3,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Seeking Work / No Work Available (aged 5 and over)female  urban,35.6,"(-3.551502, 38.376101)"
Taita Taveta,2009, % Economically Inactive (aged 5 and over)female urban,4.5,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employment status unclassified (aged 5 and over) female urban,41.4,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employed (age 5 and over) male urban,81.4,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Seeking Work / No Work Available (aged 5 and over) male urban,46,"(-3.551502, 38.376101)"
Taita Taveta,2009, % Economically Inactive (aged 5 and over)male urban,4.5,"(-3.551502, 38.376101)"
Taita Taveta,2009,% Employment status unclassified (aged 5 and over)male urban,28.1,"(-3.551502, 38.376101)"
Taita Taveta,2005,Morbidity rates male,19.2,"(-3.551502, 38.376101)"
Taita Taveta,2005,Morbidity rates female,34.7,"(-3.551502, 38.376101)"
Tana River,2009,Urban households access to electricty,10.1,"(-1.584971, 39.536272)"
Tana River,2009,Rural households access to electricty,1,"(-1.584971, 39.536272)"
Tana River,2009,Rural households access to piped water,4.1,"(-1.584971, 39.536272)"
Tana River,2009,Urban households access to piped water,53.2,"(-1.584971, 39.536272)"
Tana River,2009,"Rural Access to main sewer, sceptic tank or cess pit",0.6,"(-1.584971, 39.536272)"
Tana River,2009,"Urban Access to main sewer, sceptic tank or cess pit",2.3,"(-1.584971, 39.536272)"
Tana River,2009,%  with Pre-Primary education,16,"(-1.584971, 39.536272)"
Tana River,2009,%  with Primary education,23,"(-1.584971, 39.536272)"
Tana River,2009,%  with Secondary education,67.9,"(-1.584971, 39.536272)"
Tana River,2009,"%  with Tertiary education, university or youth polytechnic",5.5,"(-1.584971, 39.536272)"
Tana River,2005,Incidence of Flu,0.7,"(-1.584971, 39.536272)"
Tana River,2005,Incidence of Fever/Malaria,5.1,"(-1.584971, 39.536272)"
