"type","region","district","ward","village","population","in shapefile"
"village","Shinyanga","Kahama","Busangi","Nyamigege",2994,"n"
"ward","Shinyanga","Kahama","Ntobo","",10089,"y"
"village","Shinyanga","Kahama","Ntobo","Ntobo 'B'",1954,"n"
"village","Shinyanga","Kahama","Ntobo","Kalagwa",1597,"n"
"village","Shinyanga","Kahama","Ntobo","Bukwangu",2235,"n"
"village","Shinyanga","Kahama","Ntobo","Ntobo 'A'",2084,"n"
"village","Shinyanga","Kahama","Ntobo","Buganzo",2219,"n"
"ward","Shinyanga","Kahama","Ngaya","",12681,"y"
"village","Shinyanga","Kahama","Ngaya","Butegwa",1386,"n"
"village","Shinyanga","Kahama","Ngaya","Ngaya",2276,"n"
"village","Shinyanga","Kahama","Ngaya","Igombe",2645,"n"
"village","Shinyanga","Kahama","Ngaya","Mhama",1569,"n"
"village","Shinyanga","Kahama","Ngaya","Kakulu",2724,"n"
"village","Shinyanga","Kahama","Ngaya","Mwashimbayi",2081,"n"
"ward","Shinyanga","Kahama","Bulige","",10505,"y"
"village","Shinyanga","Kahama","Bulige","Mwaningi",3959,"n"
"village","Shinyanga","Kahama","Bulige","Bulige",6546,"n"
"ward","Shinyanga","Kahama","Kashishi","",13410,"y"
"village","Shinyanga","Kahama","Kashishi","Mwamboku",4076,"n"
"village","Shinyanga","Kahama","Kashishi","Malilita",2230,"n"
"village","Shinyanga","Kahama","Kashishi","Mwakuzuka",3285,"n"
"village","Shinyanga","Kahama","Kashishi","Kashishi",3819,"n"
"ward","Shinyanga","Kahama","Mwanase","",14898,"y"
"village","Shinyanga","Kahama","Mwanase","Kabondo",3206,"n"
"village","Shinyanga","Kahama","Mwanase","Mwanase",3394,"n"
"village","Shinyanga","Kahama","Mwanase","Nata",1069,"n"
"village","Shinyanga","Kahama","Mwanase","Mwakuhenga",2382,"n"
"village","Shinyanga","Kahama","Mwanase","Mwamandi",2836,"n"
"village","Shinyanga","Kahama","Mwanase","Nyamididi",2011,"n"
"ward","Shinyanga","Kahama","Mwalugulu","",18054,"y"
"village","Shinyanga","Kahama","Mwalugulu","Kilimbu",3048,"n"
"village","Shinyanga","Kahama","Mwalugulu","Sungamile",2564,"n"
"village","Shinyanga","Kahama","Mwalugulu","Mwalugulu",2919,"n"
"village","Shinyanga","Kahama","Mwalugulu","Banhi",2798,"n"
"village","Shinyanga","Kahama","Mwalugulu","Mwankima",3047,"n"
"village","Shinyanga","Kahama","Mwalugulu","Igundu",3679,"n"
"ward","Shinyanga","Kahama","Jana","",16099,"y"
"village","Shinyanga","Kahama","Jana","Jana",2929,"n"
"village","Shinyanga","Kahama","Jana","Butondolo",3023,"n"
"village","Shinyanga","Kahama","Jana","Buluma",4283,"n"
"village","Shinyanga","Kahama","Jana","Izuga",3057,"n"
"village","Shinyanga","Kahama","Jana","Matinje",1207,"n"
"village","Shinyanga","Kahama","Jana","Bubungu",1600,"n"
"ward","Shinyanga","Kahama","Isaka","",21690,"y"
"village","Shinyanga","Kahama","Isaka","Mwashigini",1733,"n"
"village","Shinyanga","Kahama","Isaka","Mwakata",6781,"n"
"village","Shinyanga","Kahama","Isaka","Itogwan'holo",4116,"n"
"village","Shinyanga","Kahama","Isaka","Isaka Station",6775,"n"
"village","Shinyanga","Kahama","Isaka","Isaka",2285,"n"
"ward","Shinyanga","Kahama","Chona","",18481,"y"
"village","Shinyanga","Kahama","Chona","Busenda",2780,"n"
"village","Shinyanga","Kahama","Chona","Itebele",4615,"n"
"village","Shinyanga","Kahama","Chona","Ishila",891,"n"
"village","Shinyanga","Kahama","Chona","Chona",3067,"n"
"village","Shinyanga","Kahama","Chona","Nhimbo",2805,"n"
"village","Shinyanga","Kahama","Chona","Nsalaba",1927,"n"
"village","Shinyanga","Kahama","Chona","Nshimba",2395,"n"
"ward","Shinyanga","Kahama","Chambo","",14516,"y"
"village","Shinyanga","Kahama","Chambo","Itumbili",2599,"n"
"village","Shinyanga","Kahama","Chambo","Chambo",4137,"n"
"village","Shinyanga","Kahama","Chambo","Bushimani",2911,"n"
"village","Shinyanga","Kahama","Chambo","Selya",1758,"n"
"village","Shinyanga","Kahama","Chambo","Nyawishi",3110,"n"
"ward","Shinyanga","Kahama","Kisuke","",10467,"y"
"village","Shinyanga","Kahama","Kisuke","Itumbo",1742,"n"
"village","Shinyanga","Kahama","Kisuke","Kisuke",2973,"n"
"village","Shinyanga","Kahama","Kisuke","Nyamilangano",3802,"n"
"village","Shinyanga","Kahama","Kisuke","Mitonga",1950,"n"
"ward","Shinyanga","Kahama","Mapamba","",6273,"y"
"village","Shinyanga","Kahama","Mapamba","Nussa",1594,"n"
"village","Shinyanga","Kahama","Mapamba","Kawekunelela",1513,"n"
"village","Shinyanga","Kahama","Mapamba","Mapamba",1732,"n"
"village","Shinyanga","Kahama","Mapamba","Mikwa",1434,"n"
"ward","Shinyanga","Kahama","Bukomela","",6492,"y"
"village","Shinyanga","Kahama","Bukomela","Ngokolo",1527,"n"
"village","Shinyanga","Kahama","Bukomela","Kabila",1587,"n"
"village","Shinyanga","Kahama","Bukomela","Bukomela",1540,"n"
"village","Shinyanga","Kahama","Bukomela","Mliza",1838,"n"
"ward","Shinyanga","Kahama","Ukune","",11717,"y"
"village","Shinyanga","Kahama","Ukune","Italike",1652,"n"
"village","Shinyanga","Kahama","Ukune","Kayenze",1679,"n"
"village","Shinyanga","Kahama","Ukune","Iboja",3111,"n"
"village","Shinyanga","Kahama","Ukune","Kundikili",1537,"n"
"village","Shinyanga","Kahama","Ukune","Chibiso",560,"n"
"village","Shinyanga","Kahama","Ukune","Ilwilo",912,"n"
"village","Shinyanga","Kahama","Ukune","Igalula",1295,"n"
"village","Shinyanga","Kahama","Ukune","Sofi",970,"n"
"ward","Shinyanga","Kahama","Igunda","",6597,"y"
"village","Shinyanga","Kahama","Igunda","Kigwa",823,"n"
"village","Shinyanga","Kahama","Igunda","Mhulidede",1216,"n"
"village","Shinyanga","Kahama","Igunda","Mbuta",1005,"n"
"village","Shinyanga","Kahama","Igunda","Bunasani",1005,"n"
"village","Shinyanga","Kahama","Igunda","Zobogo",828,"n"
"village","Shinyanga","Kahama","Igunda","Igunda",1721,"n"
"ward","Shinyanga","Kahama","Kinamapula","",12695,"y"
"village","Shinyanga","Kahama","Kinamapula","Butibu",2878,"n"
"village","Shinyanga","Kahama","Kinamapula","Kasomela",1738,"n"
"village","Shinyanga","Kahama","Kinamapula","Ilemve",1436,"n"
"village","Shinyanga","Kahama","Kinamapula","Kalama",952,"n"
"village","Shinyanga","Kahama","Kinamapula","Kinamapula",3495,"n"
"village","Shinyanga","Kahama","Kinamapula","Hongwa",2196,"n"
"ward","Shinyanga","Kahama","Igwamanoni","",14901,"y"
"village","Shinyanga","Kahama","Igwamanoni","Mwamanyili",1670,"n"
"village","Shinyanga","Kahama","Igwamanoni","Luhaga",2746,"n"
"village","Shinyanga","Kahama","Igwamanoni","Kitongo",1899,"n"
"village","Shinyanga","Kahama","Igwamanoni","Igwamanoni",2394,"n"
"village","Shinyanga","Kahama","Igwamanoni","Kipangu",1720,"n"
"village","Shinyanga","Kahama","Igwamanoni","Iramba",2021,"n"
"village","Shinyanga","Kahama","Igwamanoni","Nyakashatala",2450,"n"
"ward","Shinyanga","Kahama","Mpunze","",9338,"y"
"village","Shinyanga","Kahama","Mpunze","Butende",2803,"n"
"village","Shinyanga","Kahama","Mpunze","Mpunze",4767,"n"
"village","Shinyanga","Kahama","Mpunze","Bulima",1768,"n"
"ward","Shinyanga","Kahama","Sabasabini","",11563,"y"
"village","Shinyanga","Kahama","Sabasabini","Iponyanholo",2593,"n"
"village","Shinyanga","Kahama","Sabasabini","Sabasabini",2687,"n"
"village","Shinyanga","Kahama","Sabasabini","Bubungu",1767,"n"
"village","Shinyanga","Kahama","Sabasabini","Kabanga",2818,"n"
"village","Shinyanga","Kahama","Sabasabini","Lusonzo",1698,"n"
"ward","Shinyanga","Kahama","Idahina","",23937,"y"
"village","Shinyanga","Kahama","Idahina","Mwabomba",5354,"n"
"village","Shinyanga","Kahama","Idahina","Idahina",4432,"n"
"village","Shinyanga","Kahama","Idahina","Ihapula",2248,"n"
"village","Shinyanga","Kahama","Idahina","Busulwanguku",2311,"n"
"village","Shinyanga","Kahama","Idahina","Nyamtengela",4664,"n"
"village","Shinyanga","Kahama","Idahina","Isanga",4927,"n"
"ward","Shinyanga","Kahama","Bulungwa","",24642,"y"
"village","Shinyanga","Kahama","Bulungwa","Idetemya",1662,"n"
"village","Shinyanga","Kahama","Bulungwa","Nyabusalu",3919,"n"
"village","Shinyanga","Kahama","Bulungwa","Makongolo",3653,"n"
"village","Shinyanga","Kahama","Bulungwa","Shaka",5282,"n"
"village","Shinyanga","Kahama","Bulungwa","Nyamkondo",2622,"n"
"village","Shinyanga","Kahama","Bulungwa","Kinamig'hwa",2202,"n"
"village","Shinyanga","Kahama","Bulungwa","Bukale",2943,"n"
"village","Shinyanga","Kahama","Bulungwa","Mulungu",2360,"n"
"ward","Shinyanga","Kahama","Nyankende","",14515,"y"
"village","Shinyanga","Kahama","Nyankende","Masumbwe",1815,"n"
"village","Shinyanga","Kahama","Nyankende","Kagera",2048,"n"
"village","Shinyanga","Kahama","Nyankende","Mwadui",2219,"n"
"village","Shinyanga","Kahama","Nyankende","Nyankende",5433,"n"
"village","Shinyanga","Kahama","Nyankende","Bunanda",1485,"n"
"village","Shinyanga","Kahama","Nyankende","Imalabupina",1515,"n"
"ward","Shinyanga","Kahama","Ulewe","",18308,"y"
"village","Shinyanga","Kahama","Ulewe","Shilabela",2625,"n"
"village","Shinyanga","Kahama","Ulewe","Nyalwelwe",4101,"n"
"village","Shinyanga","Kahama","Ulewe","Bugomba",5126,"n"
"village","Shinyanga","Kahama","Ulewe","Iyogelo",1853,"n"
"village","Shinyanga","Kahama","Ulewe","Kalo",2393,"n"
"village","Shinyanga","Kahama","Ulewe","Itega",2210,"n"
"ward","Shinyanga","Kahama","Ushetu","",17538,"y"
"village","Shinyanga","Kahama","Ushetu","Mhuge",2342,"n"
"village","Shinyanga","Kahama","Ushetu","Kidanha",1799,"n"
"village","Shinyanga","Kahama","Ushetu","Ibambala",1358,"n"
"village","Shinyanga","Kahama","Ushetu","Ibelansuha",4665,"n"
"village","Shinyanga","Kahama","Ushetu","Mkwangulwa",2724,"n"
"village","Shinyanga","Kahama","Ushetu","Mbika",4649,"n"
"ward","Shinyanga","Kahama","Uyogo","",15291,"y"
"village","Shinyanga","Kahama","Uyogo","Nsunga",3337,"n"
"village","Shinyanga","Kahama","Uyogo","Manungu",2885,"n"
"village","Shinyanga","Kahama","Uyogo","Uyogo",4915,"n"
"village","Shinyanga","Kahama","Uyogo","Bugoshi",2281,"n"
"village","Shinyanga","Kahama","Uyogo","Kalama",1873,"n"
"ward","Shinyanga","Kahama","Ulowa","",19230,"y"
"village","Shinyanga","Kahama","Ulowa","Bugela",2471,"n"
"village","Shinyanga","Kahama","Ulowa","Kangeme",6703,"n"
"village","Shinyanga","Kahama","Ulowa","Ilomelo",3462,"n"
"village","Shinyanga","Kahama","Ulowa","Ulowa",6594,"n"
"ward","Shinyanga","Kahama","Ubagwe","",16574,"y"
"village","Shinyanga","Kahama","Ubagwe","Salawe",2142,"n"
"village","Shinyanga","Kahama","Ubagwe","Ubagwe",5079,"n"
"village","Shinyanga","Kahama","Ubagwe","Nonwe",3387,"n"
"village","Shinyanga","Kahama","Ubagwe","Misayu",3140,"n"
"village","Shinyanga","Kahama","Ubagwe","Mwadui",2827,"n"
"village","Shinyanga","Kahama","Ubagwe","Kahama Township Council",242208,"n"
"ward","Shinyanga","Kahama","Ngogwa","",8202,"n"
"village","Shinyanga","Kahama","Ngogwa","Nuja",1752,"n"
"village","Shinyanga","Kahama","Ngogwa","Ngogwa",2215,"n"
"village","Shinyanga","Kahama","Ngogwa","Ngulu",2026,"n"
"village","Shinyanga","Kahama","Ngogwa","Nyambula",2210,"n"
"ward","Shinyanga","Kahama","Wendele","",7536,"n"
"village","Shinyanga","Kahama","Wendele","Tumaini",2049,"n"
"village","Shinyanga","Kahama","Wendele","Katungulu",1308,"n"
"village","Shinyanga","Kahama","Wendele","Wendele",2610,"n"
"village","Shinyanga","Kahama","Wendele","Kahanga",1569,"n"
"ward","Shinyanga","Kahama","Kinaga","",14841,"n"
"village","Shinyanga","Kahama","Kinaga","Nduku",4320,"n"
"village","Shinyanga","Kahama","Kinaga","Magobeko",1569,"n"
"village","Shinyanga","Kahama","Kinaga","Kinaga",3963,"n"
"village","Shinyanga","Kahama","Kinaga","Igung'hwa",3051,"n"
"village","Shinyanga","Kahama","Kinaga","Ubilimbi",1937,"n"
"ward","Shinyanga","Kahama","Isagehe","",10828,"n"
"village","Shinyanga","Kahama","Isagehe","Kidunyashi",2031,"n"
"village","Shinyanga","Kahama","Isagehe","Isagehe",2650,"n"
"village","Shinyanga","Kahama","Isagehe","Malenge",1377,"n"
"village","Shinyanga","Kahama","Isagehe","Bukooba",1773,"n"
"village","Shinyanga","Kahama","Isagehe","Mpela",2997,"n"
"ward","Shinyanga","Kahama","Mondo","",11481,"n"
"village","Shinyanga","Kahama","Mondo","Penzi",1627,"n"
"village","Shinyanga","Kahama","Mondo","Mwanzwagi",2415,"n"
"village","Shinyanga","Kahama","Mondo","Mondo",2781,"n"
"village","Shinyanga","Kahama","Mondo","Sangilwa",2285,"n"
"village","Shinyanga","Kahama","Mondo","Bumbiti",2373,"n"
"ward","Shinyanga","Kahama","Kagongwa","",21446,"n"
"village","Shinyanga","Kahama","Kagongwa","Kagongwa",8340,"n"
"village","Shinyanga","Kahama","Kagongwa","Gembe",1772,"n"
"village","Shinyanga","Kahama","Kagongwa","Kishima",4869,"n"
"village","Shinyanga","Kahama","Kagongwa","Iponya",6465,"n"
"ward","Shinyanga","Kahama","Nyahanga","",15794,"n"
"village","Shinyanga","Kahama","Nyahanga","Shunu",9474,"n"
"village","Shinyanga","Kahama","Nyahanga","Nyahanga",6320,"n"
"ward","Shinyanga","Kahama","Malunga","",10225,"n"
"village","Shinyanga","Kahama","Malunga","Malunga",10225,"n"
"ward","Shinyanga","Kahama","Mhongolo","",15427,"n"
"village","Shinyanga","Kahama","Mhongolo","Mhongolo",6382,"n"
"village","Shinyanga","Kahama","Mhongolo","Nyashimbi",2526,"n"
"village","Shinyanga","Kahama","Mhongolo","Mbulu",6520,"n"
"ward","Shinyanga","Kahama","Mwendakulima","",13711,"n"
"village","Shinyanga","Kahama","Mwendakulima","Mwendakulima",7123,"n"
"village","Shinyanga","Kahama","Mwendakulima","Chapulwa",2551,"n"
"village","Shinyanga","Kahama","Mwendakulima","Mwime",4037,"n"
"ward","Shinyanga","Kahama","Zongomera","",10438,"n"
"village","Shinyanga","Kahama","Zongomera","Ilindi",3384,"n"
"village","Shinyanga","Kahama","Zongomera","Zongomera",3178,"n"
"village","Shinyanga","Kahama","Zongomera","Seeke",3876,"n"
"ward","Shinyanga","Kahama","Mhungula","",10486,"n"
"village","Shinyanga","Kahama","Mhungula","Mhungula",6556,"n"
"village","Shinyanga","Kahama","Mhungula","Bukondamoyo",3930,"n"
"ward","Shinyanga","Kahama","Nyihogo","",13622,"n"
"village","Shinyanga","Kahama","Nyihogo","Kilima",2119,"n"
"village","Shinyanga","Kahama","Nyihogo","Kisisi",2388,"n"
"village","Shinyanga","Kahama","Nyihogo","Mayila",4380,"n"
"village","Shinyanga","Kahama","Nyihogo","Nyihogo",4735,"n"
"ward","Shinyanga","Kahama","Nyasubi","",20181,"n"
"village","Shinyanga","Kahama","Nyasubi","Nyasubi",20181,"n"
"ward","Shinyanga","Kahama","Kahama Mjini","",6621,"n"
"village","Shinyanga","Kahama","Kahama Mjini","Namanga",2063,"n"
"village","Shinyanga","Kahama","Kahama Mjini","Kusundwa",535,"n"
"village","Shinyanga","Kahama","Kahama Mjini","Nkamba",463,"n"
"village","Shinyanga","Kahama","Kahama Mjini","Nkandi",1462,"n"
"village","Shinyanga","Kahama","Kahama Mjini","Igalilimi",739,"n"
"village","Shinyanga","Kahama","Kahama Mjini","Nyanyembe",1360,"n"
"ward","Shinyanga","Kahama","Majengo","",15917,"n"
"village","Shinyanga","Kahama","Majengo","Majengo",15917,"n"
"ward","Shinyanga","Kahama","Busoka","",5323,"n"
"village","Shinyanga","Kahama","Busoka","Sunge",1424,"n"
"village","Shinyanga","Kahama","Busoka","Kitwana",1395,"n"
"village","Shinyanga","Kahama","Busoka","Busoka",2504,"n"
"ward","Shinyanga","Kahama","Kilago","",11118,"n"
"village","Shinyanga","Kahama","Kilago","Nyanhembe",1333,"n"
"village","Shinyanga","Kahama","Kilago","Kilago",2664,"n"
"village","Shinyanga","Kahama","Kilago","Tulole",2653,"n"
"village","Shinyanga","Kahama","Kilago","Shininga",1071,"n"
"village","Shinyanga","Kahama","Kilago","Wame",1080,"n"
"village","Shinyanga","Kahama","Kilago","Ufala",2317,"n"
"ward","Shinyanga","Kahama","Iyenze","",7620,"n"
"village","Shinyanga","Kahama","Iyenze","Ishiki",1093,"n"
"village","Shinyanga","Kahama","Iyenze","Kawe",1453,"n"
"village","Shinyanga","Kahama","Iyenze","Iyenze",2599,"n"
"village","Shinyanga","Kahama","Iyenze","Isalenge",1806,"n"
"village","Shinyanga","Kahama","Iyenze","Ilungu",669,"n"
"ward","Shinyanga","Kahama","Nyandekwa","",11391,"n"
"village","Shinyanga","Kahama","Nyandekwa","Kakele",1689,"n"
"village","Shinyanga","Kahama","Nyandekwa","Kilengwe",870,"n"
"village","Shinyanga","Kahama","Nyandekwa","Chalya",1240,"n"
"village","Shinyanga","Kahama","Nyandekwa","Lowa",1717,"n"
"village","Shinyanga","Kahama","Nyandekwa","Nyandekwa",2766,"n"
"village","Shinyanga","Kahama","Nyandekwa","Buduba",1482,"n"
"village","Shinyanga","Kahama","Nyandekwa","Bujika",1627,"n"
"region","Kagera","","","",2458023,"n"
"district","Kagera","Karagwe","","",332020,"n"
"ward","Kagera","Karagwe","Igurwa","",10525,"y"
"village","Kagera","Karagwe","Igurwa","Kigarama",3429,"n"
"village","Kagera","Karagwe","Igurwa","Ahakakunyu",2082,"n"
"village","Kagera","Karagwe","Igurwa","Bwera",2530,"n"
"village","Kagera","Karagwe","Igurwa","Igurwa",2484,"n"
"ward","Kagera","Karagwe","Kanoni","",17126,"y"
"village","Kagera","Karagwe","Kanoni","Kanoni",9127,"n"
"village","Kagera","Karagwe","Kanoni","Kibona",4001,"n"
"village","Kagera","Karagwe","Kanoni","Rwambaizi",3998,"n"
"ward","Kagera","Karagwe","Kihanga","",18202,"y"
"village","Kagera","Karagwe","Kihanga","Kibwera",4232,"n"
"village","Kagera","Karagwe","Kihanga","Katanda",3605,"n"
"village","Kagera","Karagwe","Kihanga","Kihanga",6426,"n"
"village","Kagera","Karagwe","Kihanga","Kishojo",3939,"n"
"ward","Kagera","Karagwe","Kituntu","",12970,"y"
"village","Kagera","Karagwe","Kituntu","Kituntu",5090,"n"
"village","Kagera","Karagwe","Kituntu","Katembe",4143,"n"
"village","Kagera","Karagwe","Kituntu","Katwe",3737,"n"
"ward","Kagera","Karagwe","Chanika","",17632,"y"
"village","Kagera","Karagwe","Chanika","Kahundwe",1177,"n"
"village","Kagera","Karagwe","Chanika","Ruhamya",2160,"n"
"village","Kagera","Karagwe","Chanika","Chanika",7661,"n"
"village","Kagera","Karagwe","Chanika","Runyaga",6634,"n"
"ward","Kagera","Karagwe","Kayanga","",18968,"y"
"village","Kagera","Karagwe","Kayanga","Miti",2378,"n"
"village","Kagera","Karagwe","Kayanga","Kayanga",16590,"n"
"ward","Kagera","Karagwe","Bugene","",15867,"y"
"village","Kagera","Karagwe","Bugene","Bujuruga",2681,"n"
"village","Kagera","Karagwe","Bugene","Kishao",4023,"n"
"village","Kagera","Karagwe","Bugene","Bugene",9163,"n"
"ward","Kagera","Karagwe","Ndama","",11887,"y"
"village","Kagera","Karagwe","Ndama","Kagutu",3074,"n"
"village","Kagera","Karagwe","Ndama","Nyabwegira",3567,"n"
"village","Kagera","Karagwe","Ndama","Ndama",5246,"n"
"ward","Kagera","Karagwe","Rugera","",7388,"y"
"village","Kagera","Karagwe","Rugera","Rugera",2644,"n"
"village","Kagera","Karagwe","Rugera","Omkakajinja",2610,"n"
"village","Kagera","Karagwe","Rugera","Nyarugando",2134,"n"
"ward","Kagera","Karagwe","Ihembe","",8846,"y"
"village","Kagera","Karagwe","Ihembe","Ihembe 2",2517,"n"
"village","Kagera","Karagwe","Ihembe","Kibogoizi",1621,"n"
"village","Kagera","Karagwe","Ihembe","Rubale",1925,"n"
"village","Kagera","Karagwe","Ihembe","Ihembe 1",2783,"n"
"ward","Kagera","Karagwe","Nyaishozi","",12782,"y"
"village","Kagera","Karagwe","Nyaishozi","Rukale",1977,"n"
"village","Kagera","Karagwe","Nyaishozi","Nyakayanja",5224,"n"
"village","Kagera","Karagwe","Nyaishozi","Nyaishozi",5581,"n"
"ward","Kagera","Karagwe","Rugu","",14160,"y"
"village","Kagera","Karagwe","Rugu","Kasheshe",1453,"n"
"village","Kagera","Karagwe","Rugu","Misha",2443,"n"
"village","Kagera","Karagwe","Rugu","Ruhita",7299,"n"
"village","Kagera","Karagwe","Rugu","Rugu",2965,"n"
"ward","Kagera","Karagwe","Nyakasimbi","",12803,"y"
"village","Kagera","Karagwe","Nyakasimbi","Nyakasimbi",5963,"n"
"village","Kagera","Karagwe","Nyakasimbi","Bujara",2148,"n"
"village","Kagera","Karagwe","Nyakasimbi","Kahanga",4692,"n"
"ward","Kagera","Karagwe","Nyakakika","",16605,"y"
"village","Kagera","Karagwe","Nyakakika","Kanywamagana",6948,"n"
"village","Kagera","Karagwe","Nyakakika","Nyakakika",2390,"n"
"village","Kagera","Karagwe","Nyakakika","Kandegesho",3338,"n"
"village","Kagera","Karagwe","Nyakakika","Kaiho",3929,"n"
"ward","Kagera","Karagwe","Nyakabanga","",16531,"y"
"village","Kagera","Karagwe","Nyakabanga","Kayungu",3542,"n"
"village","Kagera","Karagwe","Nyakabanga","Nyabweziga",2289,"n"
"village","Kagera","Karagwe","Nyakabanga","Chabuhora",7222,"n"
"village","Kagera","Karagwe","Nyakabanga","Kanogo",3478,"n"
"ward","Kagera","Karagwe","Bweranyange","",18629,"y"
"village","Kagera","Karagwe","Bweranyange","Kijumbura",4458,"n"
"village","Kagera","Karagwe","Bweranyange","Bweranyange",5623,"n"
"village","Kagera","Karagwe","Bweranyange","Chamchuzi",5844,"n"
"village","Kagera","Karagwe","Bweranyange","Muguruka",2704,"n"
"ward","Kagera","Karagwe","Kibondo","",12621,"y"
"village","Kagera","Karagwe","Kibondo","Nyakaiga",5586,"n"
"village","Kagera","Karagwe","Kibondo","Kibondo",2915,"n"
"village","Kagera","Karagwe","Kibondo","Kakuraijo",4120,"n"
"ward","Kagera","Karagwe","Nyabiyonza","",10748,"y"
"village","Kagera","Karagwe","Nyabiyonza","Bukangara",2264,"n"
"village","Kagera","Karagwe","Nyabiyonza","Chabalisa",2616,"n"
"village","Kagera","Karagwe","Nyabiyonza","Nyabiyonza",2315,"n"
"district","Kagera","Bukoba","","",289697,"n"
"ward","Kagera","Bukoba","Nyakato","",14414,"n"
"village","Kagera","Bukoba","Nyakato","Kiilima",2134,"n"
"village","Kagera","Bukoba","Nyakato","Ibosa",4499,"n"
"village","Kagera","Bukoba","Nyakato","Burugo",2572,"n"
"village","Kagera","Bukoba","Nyakato","Igombe",2681,"n"
"village","Kagera","Bukoba","Nyakato","Kashozi",2528,"n"
"ward","Kagera","Bukoba","Katoma","",6762,"n"
"village","Kagera","Bukoba","Katoma","Irogelo",1493,"n"
"village","Kagera","Bukoba","Katoma","Kashenge",1919,"n"
"village","Kagera","Bukoba","Katoma","Lukindo",3350,"n"
"ward","Kagera","Bukoba","Karabagaine","",15302,"n"
"village","Kagera","Bukoba","Karabagaine","Kangabusharo",1872,"n"
"village","Kagera","Bukoba","Karabagaine","Kitwe",3823,"n"
"village","Kagera","Bukoba","Karabagaine","Kiziru",2255,"n"
"village","Kagera","Bukoba","Karabagaine","Itahwa",4455,"n"
"village","Kagera","Bukoba","Karabagaine","Ibaraizibu",2897,"n"
"ward","Kagera","Bukoba","Bujugo","",7140,"n"
"village","Kagera","Bukoba","Bujugo","Minazi",1790,"n"
"village","Kagera","Bukoba","Bujugo","Katoju",1949,"n"
"village","Kagera","Bukoba","Bujugo","Buganguzi",3401,"n"
"ward","Kagera","Bukoba","Maruku","",9202,"n"
"village","Kagera","Bukoba","Maruku","Kyansozi",2287,"n"
"village","Kagera","Bukoba","Maruku","Maruku",1728,"n"
"village","Kagera","Bukoba","Maruku","Butairuka",2085,"n"
"village","Kagera","Bukoba","Maruku","Bwizanduru",3102,"n"
"ward","Kagera","Bukoba","Kanyangereko","",10166,"n"
"village","Kagera","Bukoba","Kanyangereko","Bulinda",3554,"n"
"village","Kagera","Bukoba","Kanyangereko","Butahyaibega",3713,"n"
"village","Kagera","Bukoba","Kanyangereko","Buguruka",2899,"n"
"ward","Kagera","Bukoba","Katerero","",5884,"n"
"village","Kagera","Bukoba","Katerero","Kyema",2999,"n"
"village","Kagera","Bukoba","Katerero","Mulahya",2885,"n"
"ward","Kagera","Bukoba","Kemondo","",15900,"n"
"village","Kagera","Bukoba","Kemondo","Rwagati",7147,"n"
"village","Kagera","Bukoba","Kemondo","Kanazi",8753,"n"
"ward","Kagera","Bukoba","Nyakibimbili","",8341,"n"
"village","Kagera","Bukoba","Nyakibimbili","Kitahya",1845,"n"
"village","Kagera","Bukoba","Nyakibimbili","Nyakibimbili",2196,"n"
"village","Kagera","Bukoba","Nyakibimbili","Bugengere",1980,"n"
"village","Kagera","Bukoba","Nyakibimbili","Bundaza",2320,"n"
"ward","Kagera","Bukoba","Ibwera","",9456,"n"
"village","Kagera","Bukoba","Ibwera","Kibona",1819,"n"
"village","Kagera","Bukoba","Ibwera","Ibwera",2373,"n"
"village","Kagera","Bukoba","Ibwera","Kalonge",2724,"n"
"village","Kagera","Bukoba","Ibwera","Kagondo",2540,"n"
"ward","Kagera","Bukoba","Mikoni","",8004,"n"
"village","Kagera","Bukoba","Mikoni","Itongo",2242,"n"
"village","Kagera","Bukoba","Mikoni","Mikoni",2012,"n"
"village","Kagera","Bukoba","Mikoni","Rutete",1931,"n"
"village","Kagera","Bukoba","Mikoni","Kahyoro",1819,"n"
"ward","Kagera","Bukoba","Butelankuzi","",9864,"n"
"village","Kagera","Bukoba","Butelankuzi","Irango",2472,"n"
"village","Kagera","Bukoba","Butelankuzi","Mishenye",2996,"n"
"village","Kagera","Bukoba","Butelankuzi","Nyakabanga",2328,"n"
"village","Kagera","Bukoba","Butelankuzi","Nyabushozi",2068,"n"
"ward","Kagera","Bukoba","Rubale","",8901,"n"
"village","Kagera","Bukoba","Rubale","Rubale",4028,"n"
"village","Kagera","Bukoba","Rubale","Migara",2032,"n"
"village","Kagera","Bukoba","Rubale","Kabirizi",2841,"n"
"ward","Kagera","Bukoba","Rukoma","",11747,"n"
"village","Kagera","Bukoba","Rukoma","Bituntu",3969,"n"
"village","Kagera","Bukoba","Rukoma","Rukoma",3157,"n"
"village","Kagera","Bukoba","Rukoma","Nsheshe",4621,"n"
"ward","Kagera","Bukoba","Kikomero","",6165,"n"
"village","Kagera","Bukoba","Kikomero","Nyakabulala",1770,"n"
"village","Kagera","Bukoba","Kikomero","Kikomero",2018,"n"
"village","Kagera","Bukoba","Kikomero","Butakya",2377,"n"
"ward","Kagera","Bukoba","Kibirizi","",7807,"n"
"village","Kagera","Bukoba","Kibirizi","Omubweya",1904,"n"
"village","Kagera","Bukoba","Kibirizi","Kibirizi",3830,"n"
"village","Kagera","Bukoba","Kibirizi","Kamuli",2073,"n"
